2026-06-30 13:15:03.160 | DEBUG    | __main__:read_pdf:170 - PDF: Technical Proposal_Endline Evaluation_KEN1202.pdf → 90233 chars
2026-06-30 13:15:11.826 | DEBUG    | __main__:extract_proposal_info:413 - Extracted proposal: Evaluation of the Chukua Control, Civil Society Empowerment for improved service delivery in rural areas of Kenya
2026-06-30 13:15:22.491 | ERROR    | __main__:add_proposal_to_airtable:581 - Failed to add proposal Evaluation of the Chukua Control, Civil Society Empowerment for improved service delivery in rural areas of Kenya: ('422 Client Error: Unprocessable Entity for url: https://api.airtable.com/v0/app2zoGNoagY5eLht/PAST_PROPOSALS', '{\'type\': \'INVALID_VALUE_FOR_COLUMN\', \'message\': \'Field "year" cannot accept the provided value\'}')
2026-06-30 13:56:37.328 | DEBUG    | __main__:read_pdf:170 - PDF: 250708_Charles Gikanga Kamau.pdf → 75747 chars
2026-06-30 13:56:47.177 | DEBUG    | __main__:extract_cv_info:336 - Extracted CV: Eng. Charles Gikanga Kamau
2026-06-30 13:56:52.272 | ERROR    | __main__:add_consultant_to_airtable:526 - Failed to add consultant Eng. Charles Gikanga Kamau: ('422 Client Error: Unprocessable Entity for url: https://api.airtable.com/v0/app2zoGNoagY5eLht/CONSULTANTS', '{\'type\': \'UNKNOWN_FIELD_NAME\', \'message\': \'Unknown field name: "day_rate_usd"\'}')
2026-06-30 13:56:52.648 | DEBUG    | __main__:read_docx:201 - DOCX: ABDI.docx → 7990 chars
2026-06-30 13:57:00.160 | DEBUG    | __main__:extract_cv_info:336 - Extracted CV: Salahweli Harun Abdi
2026-06-30 13:57:25.733 | ERROR    | __main__:add_consultant_to_airtable:526 - Failed to add consultant Salahweli Harun Abdi: ('422 Client Error: Unprocessable Entity for url: https://api.airtable.com/v0/app2zoGNoagY5eLht/CONSULTANTS', '{\'type\': \'UNKNOWN_FIELD_NAME\', \'message\': \'Unknown field name: "day_rate_usd"\'}')
2026-06-30 13:57:26.707 | DEBUG    | __main__:read_pdf:170 - PDF: AHMED HASSAN CV 2022 sept-2.pdf → 13530 chars
2026-06-30 13:57:35.972 | DEBUG    | __main__:extract_cv_info:336 - Extracted CV: Ahmed Adan Hassan
2026-06-30 13:57:38.114 | ERROR    | __main__:add_consultant_to_airtable:526 - Failed to add consultant Ahmed Adan Hassan: ('422 Client Error: Unprocessable Entity for url: https://api.airtable.com/v0/app2zoGNoagY5eLht/CONSULTANTS', '{\'type\': \'UNKNOWN_FIELD_NAME\', \'message\': \'Unknown field name: "day_rate_usd"\'}')
2026-06-30 13:57:38.485 | DEBUG    | __main__:read_docx:201 - DOCX: Abdifatah Hussein Aden-cv IOM.docx → 14690 chars
2026-06-30 13:57:47.019 | DEBUG    | __main__:extract_cv_info:336 - Extracted CV: Abdifatah Aden Hussein
2026-06-30 13:58:01.982 | ERROR    | __main__:add_consultant_to_airtable:526 - Failed to add consultant Abdifatah Aden Hussein: ('422 Client Error: Unprocessable Entity for url: https://api.airtable.com/v0/app2zoGNoagY5eLht/CONSULTANTS', '{\'type\': \'UNKNOWN_FIELD_NAME\', \'message\': \'Unknown field name: "day_rate_usd"\'}')
2026-06-30 13:58:02.362 | DEBUG    | __main__:read_docx:201 - DOCX: Abdifitah hussein aden- enviromental health.docx → 11104 chars
2026-06-30 13:58:10.205 | DEBUG    | __main__:extract_cv_info:336 - Extracted CV: Abdifatah Aden Hussein
2026-06-30 13:59:02.229 | ERROR    | __main__:add_consultant_to_airtable:526 - Failed to add consultant Abdifatah Aden Hussein: ('422 Client Error: Unprocessable Entity for url: https://api.airtable.com/v0/app2zoGNoagY5eLht/CONSULTANTS', '{\'type\': \'UNKNOWN_FIELD_NAME\', \'message\': \'Unknown field name: "day_rate_usd"\'}')
2026-06-30 13:59:02.598 | DEBUG    | __main__:read_docx:201 - DOCX: Abdikadir CV IOM.......docx → 19763 chars
2026-06-30 13:59:12.031 | DEBUG    | __main__:extract_cv_info:336 - Extracted CV: Abdikadir Adan Hussein
2026-06-30 13:59:20.408 | ERROR    | __main__:add_consultant_to_airtable:526 - Failed to add consultant Abdikadir Adan Hussein: ('422 Client Error: Unprocessable Entity for url: https://api.airtable.com/v0/app2zoGNoagY5eLht/CONSULTANTS', '{\'type\': \'UNKNOWN_FIELD_NAME\', \'message\': \'Unknown field name: "day_rate_usd"\'}')
2026-06-30 13:59:20.817 | DEBUG    | __main__:read_docx:201 - DOCX: Abdiladif Ahmed_climate change.docx → 12206 chars
2026-06-30 13:59:28.199 | DEBUG    | __main__:extract_cv_info:336 - Extracted CV: Abdiladif Ahmed Haret
2026-06-30 13:59:30.293 | ERROR    | __main__:add_consultant_to_airtable:526 - Failed to add consultant Abdiladif Ahmed Haret: ('422 Client Error: Unprocessable Entity for url: https://api.airtable.com/v0/app2zoGNoagY5eLht/CONSULTANTS', '{\'type\': \'UNKNOWN_FIELD_NAME\', \'message\': \'Unknown field name: "day_rate_usd"\'}')
2026-06-30 13:59:30.668 | DEBUG    | __main__:read_docx:201 - DOCX: Akama Maiko Erick.docx → 8812 chars
2026-06-30 13:59:37.796 | DEBUG    | __main__:extract_cv_info:336 - Extracted CV: Akama Maiko Erick
2026-06-30 14:05:40.719 | DEBUG    | __main__:read_pdf:170 - PDF: 250708_Charles Gikanga Kamau.pdf → 75747 chars
2026-06-30 14:05:50.618 | DEBUG    | __main__:extract_cv_info:336 - Extracted CV: Charles Gikanga Kamau
2026-06-30 14:05:53.798 | ERROR    | __main__:add_consultant_to_airtable:527 - Failed to add consultant Charles Gikanga Kamau: ('422 Client Error: Unprocessable Entity for url: https://api.airtable.com/v0/app2zoGNoagY5eLht/CONSULTANTS', '{\'type\': \'UNKNOWN_FIELD_NAME\', \'message\': \'Unknown field name: "day_rate_usd"\'}')
2026-06-30 14:05:54.170 | DEBUG    | __main__:read_docx:201 - DOCX: ABDI.docx → 7990 chars
2026-06-30 14:06:02.217 | DEBUG    | __main__:extract_cv_info:336 - Extracted CV: Salahweli Harun Abdi
2026-06-30 14:25:16.820 | DEBUG    | __main__:read_pdf:170 - PDF: 250708_Charles Gikanga Kamau.pdf → 75747 chars
2026-06-30 14:25:26.973 | DEBUG    | __main__:extract_cv_info:336 - Extracted CV: Eng. Charles Gikanga Kamau
2026-06-30 14:25:30.221 | DEBUG    | __main__:read_docx:201 - DOCX: ABDI.docx → 7990 chars
2026-06-30 14:25:37.868 | DEBUG    | __main__:extract_cv_info:336 - Extracted CV: Salahweli Harun Abdi
2026-06-30 14:25:41.267 | DEBUG    | __main__:read_pdf:170 - PDF: AHMED HASSAN CV 2022 sept-2.pdf → 13530 chars
2026-06-30 14:25:49.131 | DEBUG    | __main__:extract_cv_info:336 - Extracted CV: Ahmed Adan Hassan
2026-06-30 14:25:59.216 | DEBUG    | __main__:read_docx:201 - DOCX: Abdifatah Hussein Aden-cv IOM.docx → 14690 chars
2026-06-30 14:26:08.639 | DEBUG    | __main__:extract_cv_info:336 - Extracted CV: Abdifatah Aden Hussein
2026-06-30 14:26:15.826 | DEBUG    | __main__:read_docx:201 - DOCX: Abdifitah hussein aden- enviromental health.docx → 11104 chars
2026-06-30 14:26:26.612 | DEBUG    | __main__:extract_cv_info:336 - Extracted CV: Abdifatah Aden Hussein
